featureid	Intercept	Subject[T.FAT_008]	Subject[T.FAT_012]	Subject[T.FAT_015]	Subject[T.FAT_020]	Subject[T.R01]	Subject[T.R02]	Subject[T.V1]	Subject[T.V2]	Subject[T.V3]	Donor[T.DS04]	Donor[T.FAT_DON_11]	Donor[T.FAT_DON_19]	Donor[T.FAT_DON_8]	Donor[T.SPB_T43]	Dataset[T.SPB18]	Dataset[T.VRIEZE12]	group[T.stay]	Time
K00001	-0.985254118018821	-0.62592668510236	-0.834207105598009	-0.962570940957673	-0.520600601069835	0.230893930975621	-0.461545441576316	-0.844631318421767	-0.781673315535285	-0.953755229808764	-0.451545053750277	-0.762881366313404	-0.555300930255225	-0.853449436584921	-1.26183904208459	-1.24512116672969	-1.01571007682674	-0.953233473041888	-1.30386144263815
K00002	-1.45718405561991	-0.0401964900568884	0.526501846352064	-0.833699172244675	-1.01120729648342	-2.81790033858615	-0.909422043987586	0.717493172316148	-2.40354991293976	0.199085265300794	-0.899421656161547	0.602913173138195	-0.988882520907691	0.659604219039468	-0.580086539166351	-0.619905099892375	0.15404812381871	0.167274244090681	0.00363045589852784
K00003	1.5445250777667	0.129596102468594	-0.0515433430285814	-0.618957107768662	-0.0692706247495685	0.708126715008443	-0.0377291480983036	0.165542240767076	0.476318952073358	0.0182015596847965	0.218974715441465	-0.450366316140598	-0.160487482064536	-0.335973056713553	1.39257918797217	-1.3583169362185	0.572147646409347	0.22376645352519	0.000620063709501961
K00005	-0.176328310542777	-0.933411222465412	0.21657438282057	-1.23503563355029	-0.779097481601146	1.21188666540784	-1.35176995796807	-0.832204102957354	-0.385562810669638	0.418304592273755	-1.34176957014203	-0.310712275803989	-1.34690771412211	-0.419800284067603	1.63855825863562	-1.03854055764651	1.04744319008	0.269743330737714	-0.000739518237824699
K00008	0.26380889696531	0.138784992925747	-0.188632059058702	-0.24963334749759	-0.297246589295772	1.41922803837461	-0.014966909118964	-0.656517360778258	-0.171278480063178	0.27402141680531	-0.00589331391453779	-0.83875949472279	-0.243934521191886	0.0519439850650116	0.416025628668885	0.110294415927175	1.16112402961858	0.790628202220564	0.00136345283914063
K00009	-0.577241340451911	2.40575675987445	0.024414253273451	1.84639593411862	-1.09831289850941	-1.96301476043063	-0.831816766687705	0.696242209105088	-2.36201870776246	-1.31678193817325	-0.821816378861666	-0.668748190403885	-1.1330132276948	-0.0275369609989837	-1.16537399836101	1.52165777919317	-2.15579279376857	-1.57819973681294	-0.00663560969900634
K00010	0.866430809921548	-0.29506159997739	0.567018818893873	-0.453617012010224	-1.30580846869221	0.706580034081166	-0.168773386904075	0.205282803206041	-0.790284149902858	-1.02258425960727	-0.110784614115954	-0.569358778894848	-1.08130250286417	-0.35544735447547	-0.393069992440124	-0.392645702385661	-0.692633143204377	0.0206066444126412	0.000907000469450692
K00012	1.81908052248411	0.0082254292889673	-0.151588129958666	-0.0765362734657598	0.0167083302808728	0.818176350180333	0.362698998025582	0.435970302252366	-0.635465968023039	-0.365049332477526	-0.0269337833225731	0.158932658134991	0.524117967373559	-0.433793070475073	0.223568667990784	-0.102322981381175	0.204390802842453	0.0456652715412422	-1.49352621581222e-06
K00013	0.93817322534971	-0.0692480323389929	-0.308451104125536	-0.562028592334397	0.350076214439961	1.61093159634275	0.628562357000039	0.207404490141465	0.198180135716699	0.232944637439771	0.536237245768308	0.665714295803601	0.740749379879663	0.651000169356851	1.47558723889075	-0.732005760693308	0.406515160065963	0.14896655823863	0.00109022514749024
K00014	0.914051464027688	0.105458069078549	-0.410477626285112	-0.209044372544892	0.26304556525478	1.69068356472654	0.391258146337197	0.263715978293016	0.625945564736627	0.545303612850232	0.707279986113309	1.04322603553444	1.31455137420339	1.68230572088578	-0.196762690918822	0.792500331378225	-0.0974827022730564	0.305455572864179	0.00184505836892579
K00016	0.965842416710183	-0.758528601892368	-0.996218177637613	-0.837852952883847	0.0648880163503613	1.07159455734891	-0.790643278786017	-0.4164405208544	0.73106062077453	0.105950623653455	-0.781121695071459	-0.33994850307793	-0.371461117380431	0.798571494658975	0.684204568488221	-0.347249851250407	0.621674457055404	0.519254691859846	0.00106912510323975
K00018	0.809076836532876	0.23134003900729	1.40746016506239	0.201111877455108	0.187009708054158	0.0101907165686538	0.442410673669503	0.129191811709001	1.01694130562713	0.876996189258619	0.638398951262235	-0.185421554149097	1.0310960023467	-1.11882776276252	0.355020751578431	-0.517398998760935	-0.266934773462937	0.429085619708662	0.00133305447030518
K00020	-0.591544041209891	-0.903522592552082	1.277219009438	-1.7351085896355	0.914965705044362	-0.325575390275295	-1.29467073483117	-2.0960261863188	0.350351926316522	0.283544212482496	-1.28467034700513	0.873931082188183	1.42538966823263	-0.227711948315115	0.318143596274476	0.0187057995560203	-1.191615408796	0.496732123157148	-0.000772420001740715
K00024	2.41282384676389	0.288369882337673	-0.556777167281664	0.22168811608731	0.204440728790852	-2.50307480376559	-0.0763768891776341	-0.143960837693618	-1.94311178065369	-0.450841516353564	0.0329636394679543	-0.139350382388538	0.599073788410852	-1.01043568805835	0.480823626143555	-0.515587255978343	-1.14685537530772	0.279554732104902	-0.000518742633576652
K00027	1.22096936983518	-0.534433942802326	-0.0745431661219957	-0.803617467985756	-1.05943439804783	0.761452576700871	0.23743834691398	-0.649830777616904	-0.719655260066487	-0.751176670290904	0.0912858903110024	-0.553065357507175	0.510897299534509	-0.769587437371226	0.254438151938538	0.883757665133718	1.42353395507939	0.149789698382978	0.00188868896890138
K00029	0.592027714676187	0.491711306802853	-1.35860280986742	0.310778463377349	-0.972085370652584	-0.287731388028438	0.505856122544931	1.42186772408922	-0.483124527703024	1.25832191099934	0.935763066977262	0.455632360874706	2.6126287190978	0.224061635573892	-1.2769425051681	0.93559463260198	-0.29451121999614	0.014454074164991	0.000298079418425301
K00031	1.69060175699644	-0.229434770114796	0.448489737549269	-0.555218255029328	-0.0279021402524982	1.12066831309003	0.0456248183762294	0.502170558600022	0.422211286057733	0.465213924549146	0.0792961775958534	-0.126414803565449	0.655267497784326	-0.897949992428036	-1.51066575445451	1.43900282619024	0.485387244683578	0.125045187732343	0.000381287502531746
K00033	-0.29670752006121	-1.24628413892545	-1.02047255929426	-0.937407916293747	-1.35747222506276	2.43446167427701	1.08159091668479	0.319419379858567	0.173776146401666	0.114570289753003	0.183507150381803	0.173654170929486	-0.569211384021809	-0.572750868956061	0.384333481413941	0.396550013995412	1.3674066452802	-0.0823367759975151	-4.58393819287028e-05
K00036	-0.6158855648572	-0.827907514341251	0.271843743362868	-0.0663804168564153	0.532845930225941	2.75287970024747	0.966339971593545	0.6102247196718	-0.0300449762446656	0.101495295665784	0.99628657695651	0.963336857258373	-1.32022772144633	-0.614294665614577	1.06301533184729	0.170047357058767	0.0566954998791958	-0.244849436024065	1.56726114795003e-05
K00040	0.0302230624621364	-0.288011860616581	0.430403780975783	-0.944498544440873	1.28021140492687	1.52481337505979	0.103963460496591	-0.111472968430922	1.28818237446716	-0.143443852760272	0.111888056963682	0.623680623470837	0.592108031994531	0.0304203902087494	1.08589397869788	-0.869461104893443	0.170390763741806	0.419198758861189	0.00091892139840577
K00041	0.597455432838723	-0.613548535436467	-0.411493647059954	-0.354302143560059	1.49720688260326	0.124695426408475	0.0930916924988491	-0.0229867142156819	0.275684472550653	0.799991875789685	-0.0584588289558891	0.243588241039807	-0.295874932521155	-0.497310044924231	0.596755733115296	-0.821299926066157	-0.0529854507624363	0.577455885669355	0.000427063869719246
